Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD)
Capitol Stay,Los Angeles,CA,LAX,29.6,BUR,45.5,LGB,39.1,135.37
Lakeside Inn,Chicago,IL,ORD,9.7,MDW,38.7,RFD,6.2,223.52
Coastal Breeze Hotel,Seattle,WA,SEA,25.4,PAE,16.5,BFI,6.5,145.4
Capitol Stay,San Francisco,CA,SFO,41.3,OAK,49.2,SJC,11.3,116.83
Ocean View Hotel,Miami,FL,MIA,17.6,FLL,16.1,PBI,28.5,222.07
Harbor View Hotel,Los Angeles,CA,LAX,48.2,BUR,6.8,LGB,15.7,279.42
Crystal Waters Hotel,St. Louis,MO,STL,8.3,CPS,31.7,BLV,8.0,266.59
Bay Area Hotel,Los Angeles,CA,LAX,3.5,BUR,42.7,LGB,14.7,231.01
Capitol Stay,Los Angeles,CA,LAX,33.7,BUR,34.7,LGB,34.1,175.03
Lakeside Inn,Miami,FL,MIA,46.2,FLL,19.1,PBI,29.8,167.27
Bay Area Hotel,San Francisco,CA,SFO,4.8,OAK,49.2,SJC,2.6,188.85
Maple Leaf Lodge,Los Angeles,CA,LAX,10.9,BUR,32.8,LGB,20.3,224.78
Golden Gate Hotel,New York,NY,JFK,8.2,LGA,48.0,EWR,1.2,153.03
Central Park Inn,Los Angeles,CA,LAX,27.5,BUR,32.8,LGB,27.3,252.79
Palm Grove Hotel,Atlanta,GA,ATL,3.0,PBI,21.6,BHM,15.6,172.56
Lakeside Inn,Los Angeles,CA,LAX,4.6,BUR,15.2,LGB,8.9,154.73
City Center Lodge,Miami,FL,MIA,49.6,FLL,47.1,PBI,21.7,257.51
Broadway Hotel,Seattle,WA,SEA,46.5,PAE,33.8,BFI,7.0,172.75
Capitol Stay,Phoenix,AZ,PHX,30.4,AZA,4.7,SDL,38.9,299.74
Riverfront Hotel,Phoenix,AZ,PHX,5.1,AZA,37.5,SDL,49.8,260.45
Coastal Breeze Hotel,Atlanta,GA,ATL,13.0,PBI,25.1,BHM,19.5,187.54
Maple Leaf Lodge,Atlanta,GA,ATL,42.1,PBI,12.9,BHM,18.6,208.7
Golden Gate Hotel,Atlanta,GA,ATL,1.5,PBI,9.4,BHM,37.8,248.68
Coastal Breeze Hotel,New York,NY,JFK,25.1,LGA,44.4,EWR,37.2,272.78
Metro Inn,Atlanta,GA,ATL,38.5,PBI,33.3,BHM,31.3,195.59
Ocean View Hotel,Seattle,WA,SEA,6.8,PAE,47.5,BFI,9.9,191.36
Mountain Peak Lodge,Washington,DC,DCA,45.2,IAD,1.0,BWI,48.0,191.5
Emerald Isle Hotel,Seattle,WA,SEA,12.4,PAE,34.6,BFI,13.0,118.87
Garden Court Hotel,Los Angeles,CA,LAX,10.4,BUR,3.9,LGB,48.4,198.84
Golden Gate Hotel,San Francisco,CA,SFO,44.4,OAK,5.9,SJC,2.0,122.97
Lakeside Inn,Chicago,IL,ORD,19.1,MDW,18.4,RFD,7.3,154.19
Metro Inn,Washington,DC,DCA,31.9,IAD,14.7,BWI,8.4,229.83
Sunset Inn,Washington,DC,DCA,26.0,IAD,33.1,BWI,37.6,196.14
Riverfront Hotel,Phoenix,AZ,PHX,30.1,AZA,15.1,SDL,28.5,297.1
Sapphire Hotel,San Francisco,CA,SFO,37.8,OAK,7.5,SJC,30.9,166.6
Bay Area Hotel,Chicago,IL,ORD,42.5,MDW,13.5,RFD,12.0,206.83
Lakeside Inn,Chicago,IL,ORD,5.1,MDW,47.2,RFD,43.7,185.36
Skyline Suites,Los Angeles,CA,LAX,32.9,BUR,25.3,LGB,1.3,289.0
Skyline Suites,Seattle,WA,SEA,0.8,PAE,46.4,BFI,28.3,134.67
Golden Gate Hotel,Miami,FL,MIA,28.0,FLL,19.8,PBI,28.6,226.54
Desert Resort,St. Louis,MO,STL,37.2,CPS,43.2,BLV,12.6,255.83
Coastal Breeze Hotel,Seattle,WA,SEA,34.8,PAE,20.3,BFI,18.7,130.15
Sunset Inn,Atlanta,GA,ATL,12.4,PBI,34.2,BHM,1.0,144.41
Golden Gate Hotel,Seattle,WA,SEA,31.2,PAE,12.1,BFI,13.9,247.42
Skyline Suites,Miami,FL,MIA,23.2,FLL,31.2,PBI,35.4,164.91
Golden Gate Hotel,Atlanta,GA,ATL,40.5,PBI,14.7,BHM,35.4,216.4
Sunset Inn,Seattle,WA,SEA,23.1,PAE,36.3,BFI,18.1,249.55
Garden Court Hotel,San Francisco,CA,SFO,42.1,OAK,19.0,SJC,27.7,182.23
Crystal Waters Hotel,Chicago,IL,ORD,8.0,MDW,10.0,RFD,30.9,298.87
Capitol Stay,Chicago,IL,ORD,30.2,MDW,3.5,RFD,30.6,194.28
Desert Resort,San Francisco,CA,SFO,14.0,OAK,31.7,SJC,32.5,189.12
Palm Grove Hotel,Atlanta,GA,ATL,8.5,PBI,34.7,BHM,37.0,149.81
Skyline Suites,St. Louis,MO,STL,11.8,CPS,48.6,BLV,41.7,260.8
Garden Court Hotel,Atlanta,GA,ATL,19.2,PBI,43.1,BHM,22.7,179.51
Riverfront Hotel,Atlanta,GA,ATL,28.2,PBI,35.8,BHM,22.0,141.45
Urban Retreat,St. Louis,MO,STL,41.2,CPS,27.7,BLV,46.4,258.65
Riverfront Hotel,Phoenix,AZ,PHX,32.2,AZA,42.4,SDL,1.3,224.0
Sapphire Hotel,Chicago,IL,ORD,17.5,MDW,6.0,RFD,33.0,163.28
Coastal Breeze Hotel,New York,NY,JFK,49.1,LGA,41.0,EWR,32.0,273.43
Riverfront Hotel,Phoenix,AZ,PHX,12.7,AZA,28.0,SDL,26.8,239.52
Ocean View Hotel,Chicago,IL,ORD,44.5,MDW,33.1,RFD,48.2,113.48
Urban Retreat,Chicago,IL,ORD,36.9,MDW,48.3,RFD,18.7,165.6
Pine Tree Inn,Seattle,WA,SEA,14.1,PAE,38.2,BFI,26.8,189.08
Palm Grove Hotel,Chicago,IL,ORD,7.5,MDW,15.3,RFD,35.1,114.57
Skyline Suites,San Francisco,CA,SFO,18.4,OAK,43.5,SJC,41.9,164.39
Metro Inn,Chicago,IL,ORD,28.3,MDW,35.2,RFD,2.5,106.76
Grand Plaza,Atlanta,GA,ATL,43.2,PBI,35.5,BHM,12.7,106.13
Riverfront Hotel,St. Louis,MO,STL,10.7,CPS,39.8,BLV,39.1,231.3
Grand Plaza,Atlanta,GA,ATL,2.1,PBI,33.2,BHM,17.4,125.23
Lakeside Inn,Miami,FL,MIA,12.1,FLL,20.9,PBI,2.1,227.08
Capitol Stay,Washington,DC,DCA,4.2,IAD,38.0,BWI,48.9,119.68
Skyline Suites,Chicago,IL,ORD,14.5,MDW,34.9,RFD,38.4,183.09
Central Park Inn,Chicago,IL,ORD,7.6,MDW,23.0,RFD,47.3,142.45
Pine Tree Inn,San Francisco,CA,SFO,43.3,OAK,39.6,SJC,17.0,107.35
Crystal Waters Hotel,Chicago,IL,ORD,24.8,MDW,29.5,RFD,7.0,270.38
Maple Leaf Lodge,St. Louis,MO,STL,8.3,CPS,50.0,BLV,27.3,214.29
Broadway Hotel,Atlanta,GA,ATL,1.5,PBI,25.6,BHM,43.9,224.9
Sunset Inn,San Francisco,CA,SFO,19.8,OAK,22.7,SJC,10.0,252.69
Skyline Suites,Phoenix,AZ,PHX,19.4,AZA,21.5,SDL,19.4,203.84
Skyline Suites,Miami,FL,MIA,4.9,FLL,45.1,PBI,13.1,107.65
Lakeside Inn,Seattle,WA,SEA,36.7,PAE,23.4,BFI,14.8,261.22
Harbor View Hotel,New York,NY,JFK,23.4,LGA,19.3,EWR,36.6,149.11
Bay Area Hotel,Seattle,WA,SEA,46.3,PAE,2.1,BFI,2.8,264.55
Harbor View Hotel,Chicago,IL,ORD,38.2,MDW,24.9,RFD,39.1,164.31
Ocean View Hotel,Phoenix,AZ,PHX,17.5,AZA,9.6,SDL,11.4,126.26
Riverfront Hotel,Washington,DC,DCA,50.0,IAD,3.0,BWI,20.9,275.09
Ocean View Hotel,San Francisco,CA,SFO,15.7,OAK,19.5,SJC,27.7,241.28
Desert Resort,Chicago,IL,ORD,26.1,MDW,7.5,RFD,29.3,281.68
Broadway Hotel,Phoenix,AZ,PHX,47.8,AZA,4.7,SDL,18.6,278.25
Lakeside Inn,Seattle,WA,SEA,30.5,PAE,41.3,BFI,25.7,250.04
Riverfront Hotel,Phoenix,AZ,PHX,6.1,AZA,9.3,SDL,7.7,233.57
Harbor View Hotel,Seattle,WA,SEA,13.5,PAE,23.8,BFI,21.8,162.16
Ocean View Hotel,Miami,FL,MIA,34.8,FLL,31.6,PBI,41.9,241.77
Coastal Breeze Hotel,Miami,FL,MIA,23.5,FLL,34.4,PBI,46.7,189.13
Crystal Waters Hotel,New York,NY,JFK,39.2,LGA,35.1,EWR,34.1,188.49
Pine Tree Inn,San Francisco,CA,SFO,26.4,OAK,27.4,SJC,22.2,245.93
Coastal Breeze Hotel,Seattle,WA,SEA,37.0,PAE,25.4,BFI,23.7,271.22
Pine Tree Inn,Atlanta,GA,ATL,12.6,PBI,24.1,BHM,42.6,288.64
Urban Retreat,Miami,FL,MIA,2.0,FLL,4.9,PBI,14.6,268.19
Mountain Peak Lodge,Seattle,WA,SEA,13.8,PAE,38.7,BFI,43.1,101.23
Ocean View Hotel,Miami,FL,MIA,32.5,FLL,47.6,PBI,20.1,260.93
Desert Resort,Atlanta,GA,ATL,16.9,PBI,22.6,BHM,31.3,167.81
Garden Court Hotel,San Francisco,CA,SFO,35.1,OAK,19.9,SJC,37.9,125.54
Harbor View Hotel,Seattle,WA,SEA,20.0,PAE,48.6,BFI,24.2,170.94
Skyline Suites,St. Louis,MO,STL,4.6,CPS,41.7,BLV,22.8,227.68
Lakeside Inn,Washington,DC,DCA,38.8,IAD,22.3,BWI,46.7,206.26
Lakeside Inn,Phoenix,AZ,PHX,11.4,AZA,43.7,SDL,3.5,147.56
Emerald Isle Hotel,Phoenix,AZ,PHX,23.6,AZA,33.4,SDL,30.3,137.56
Emerald Isle Hotel,Chicago,IL,ORD,37.2,MDW,16.7,RFD,8.9,200.27
Garden Court Hotel,New York,NY,JFK,29.9,LGA,48.6,EWR,0.8,240.03
Riverfront Hotel,St. Louis,MO,STL,47.0,CPS,38.9,BLV,48.6,246.85
Coastal Breeze Hotel,Los Angeles,CA,LAX,13.3,BUR,17.4,LGB,41.6,243.94
Sapphire Hotel,Atlanta,GA,ATL,10.7,PBI,40.2,BHM,7.0,208.98
Sunset Inn,Washington,DC,DCA,38.8,IAD,41.2,BWI,38.2,278.64
Capitol Stay,Seattle,WA,SEA,9.4,PAE,32.3,BFI,38.1,238.53
Maple Leaf Lodge,St. Louis,MO,STL,38.3,CPS,37.6,BLV,10.4,255.25
Sunset Inn,Miami,FL,MIA,26.9,FLL,46.9,PBI,19.3,181.62
Urban Retreat,Chicago,IL,ORD,6.0,MDW,16.8,RFD,9.8,255.85
Crystal Waters Hotel,Phoenix,AZ,PHX,31.1,AZA,32.7,SDL,8.7,259.39
City Center Lodge,San Francisco,CA,SFO,19.9,OAK,22.9,SJC,6.4,264.51
Desert Resort,Phoenix,AZ,PHX,43.8,AZA,18.5,SDL,1.9,279.67
Lakeside Inn,Miami,FL,MIA,45.2,FLL,6.1,PBI,45.7,235.61
City Center Lodge,Chicago,IL,ORD,40.8,MDW,14.6,RFD,36.1,103.84
Pine Tree Inn,Phoenix,AZ,PHX,3.1,AZA,34.8,SDL,11.2,199.61
Lakeside Inn,Miami,FL,MIA,20.7,FLL,3.2,PBI,34.6,238.58
Maple Leaf Lodge,Chicago,IL,ORD,1.4,MDW,43.8,RFD,18.4,133.01
Skyline Suites,San Francisco,CA,SFO,45.6,OAK,18.4,SJC,2.8,112.7
Bay Area Hotel,Washington,DC,DCA,27.1,IAD,2.2,BWI,2.9,131.85
Sunset Inn,Washington,DC,DCA,22.7,IAD,23.2,BWI,26.8,242.27
Ocean View Hotel,Phoenix,AZ,PHX,8.7,AZA,36.2,SDL,29.6,260.37
Bay Area Hotel,San Francisco,CA,SFO,25.5,OAK,43.4,SJC,38.4,147.43
Harbor View Hotel,Seattle,WA,SEA,43.0,PAE,34.5,BFI,21.1,262.35
Coastal Breeze Hotel,San Francisco,CA,SFO,20.2,OAK,29.9,SJC,28.0,197.7
Bay Area Hotel,New York,NY,JFK,22.0,LGA,8.2,EWR,36.1,288.53
Broadway Hotel,Seattle,WA,SEA,9.0,PAE,9.0,BFI,23.0,124.88
Urban Retreat,Atlanta,GA,ATL,6.2,PBI,6.5,BHM,27.9,135.11
Bay Area Hotel,San Francisco,CA,SFO,42.1,OAK,33.4,SJC,15.3,148.97
Desert Resort,Chicago,IL,ORD,13.2,MDW,7.5,RFD,45.4,144.28
Sapphire Hotel,Los Angeles,CA,LAX,28.0,BUR,35.0,LGB,42.4,188.29
Sapphire Hotel,Washington,DC,DCA,29.3,IAD,40.5,BWI,10.2,264.56
Grand Plaza,New York,NY,JFK,20.7,LGA,7.1,EWR,30.6,265.65
Harbor View Hotel,San Francisco,CA,SFO,25.5,OAK,13.0,SJC,34.0,259.59
Urban Retreat,Seattle,WA,SEA,32.1,PAE,43.1,BFI,39.9,238.68
Riverfront Hotel,New York,NY,JFK,19.1,LGA,4.1,EWR,11.7,233.51
Coastal Breeze Hotel,St. Louis,MO,STL,10.9,CPS,20.6,BLV,42.8,215.89
City Center Lodge,San Francisco,CA,SFO,22.7,OAK,26.5,SJC,31.1,223.82
Maple Leaf Lodge,Seattle,WA,SEA,6.1,PAE,12.3,BFI,12.9,210.18
Grand Plaza,Seattle,WA,SEA,10.3,PAE,1.8,BFI,34.5,265.91
Skyline Suites,Atlanta,GA,ATL,33.4,PBI,36.7,BHM,3.0,276.55
Riverfront Hotel,New York,NY,JFK,14.0,LGA,3.6,EWR,21.1,227.85
Riverfront Hotel,Los Angeles,CA,LAX,10.3,BUR,48.3,LGB,1.9,249.21
Skyline Suites,San Francisco,CA,SFO,10.1,OAK,37.3,SJC,1.1,208.46
Coastal Breeze Hotel,Chicago,IL,ORD,7.8,MDW,25.6,RFD,42.8,156.2
Capitol Stay,Seattle,WA,SEA,37.4,PAE,12.0,BFI,12.8,264.9
Ocean View Hotel,Chicago,IL,ORD,16.6,MDW,25.6,RFD,15.9,177.51
Maple Leaf Lodge,Phoenix,AZ,PHX,38.8,AZA,3.8,SDL,37.7,115.01
Crystal Waters Hotel,Chicago,IL,ORD,14.3,MDW,33.9,RFD,43.8,232.91
Mountain Peak Lodge,San Francisco,CA,SFO,47.6,OAK,15.3,SJC,29.0,270.88
Broadway Hotel,Miami,FL,MIA,40.9,FLL,18.3,PBI,37.4,281.04
Central Park Inn,Washington,DC,DCA,1.6,IAD,43.9,BWI,48.5,135.52
Urban Retreat,Chicago,IL,ORD,38.7,MDW,6.2,RFD,39.1,122.98
City Center Lodge,Chicago,IL,ORD,21.3,MDW,11.4,RFD,46.7,150.2
Riverfront Hotel,Atlanta,GA,ATL,3.0,PBI,19.6,BHM,48.6,180.11
Maple Leaf Lodge,Atlanta,GA,ATL,40.6,PBI,46.0,BHM,28.2,225.06
Crystal Waters Hotel,Seattle,WA,SEA,3.7,PAE,47.6,BFI,19.4,253.1
Ocean View Hotel,Los Angeles,CA,LAX,39.0,BUR,40.8,LGB,39.2,176.68
Sunset Inn,Miami,FL,MIA,17.3,FLL,43.5,PBI,41.9,101.46
Metro Inn,St. Louis,MO,STL,4.5,CPS,21.1,BLV,32.8,103.05
Palm Grove Hotel,Washington,DC,DCA,26.1,IAD,33.1,BWI,11.9,168.04
Garden Court Hotel,Seattle,WA,SEA,34.9,PAE,38.9,BFI,36.3,230.66
Crystal Waters Hotel,Miami,FL,MIA,46.6,FLL,15.6,PBI,14.5,160.41
Broadway Hotel,Atlanta,GA,ATL,42.0,PBI,6.1,BHM,8.8,116.28
Sunset Inn,San Francisco,CA,SFO,20.0,OAK,4.7,SJC,22.2,207.75
Grand Plaza,Miami,FL,MIA,16.4,FLL,17.9,PBI,7.2,207.71
Riverfront Hotel,St. Louis,MO,STL,43.2,CPS,10.9,BLV,6.7,102.1
Broadway Hotel,Los Angeles,CA,LAX,26.0,BUR,46.3,LGB,32.3,295.58
Coastal Breeze Hotel,Miami,FL,MIA,11.2,FLL,43.1,PBI,32.7,131.83
Desert Resort,Miami,FL,MIA,19.2,FLL,25.9,PBI,2.0,233.19
Crystal Waters Hotel,San Francisco,CA,SFO,12.6,OAK,7.0,SJC,3.2,230.62
Mountain Peak Lodge,Chicago,IL,ORD,34.0,MDW,42.1,RFD,49.1,226.4
Lakeside Inn,Washington,DC,DCA,19.2,IAD,42.5,BWI,29.8,225.17
Maple Leaf Lodge,Atlanta,GA,ATL,7.0,PBI,47.5,BHM,43.9,101.11
Broadway Hotel,St. Louis,MO,STL,22.6,CPS,20.1,BLV,5.7,263.9
City Center Lodge,Atlanta,GA,ATL,16.3,PBI,14.5,BHM,12.7,103.0
Maple Leaf Lodge,Los Angeles,CA,LAX,7.3,BUR,23.2,LGB,48.7,125.7
Mountain Peak Lodge,San Francisco,CA,SFO,2.8,OAK,46.5,SJC,14.2,193.85
Mountain Peak Lodge,Phoenix,AZ,PHX,14.5,AZA,17.0,SDL,31.2,114.56
Palm Grove Hotel,Seattle,WA,SEA,40.9,PAE,23.4,BFI,22.8,135.05
Crystal Waters Hotel,New York,NY,JFK,26.1,LGA,7.1,EWR,3.4,130.63
Palm Grove Hotel,Seattle,WA,SEA,32.7,PAE,14.6,BFI,29.3,250.4
Urban Retreat,Seattle,WA,SEA,39.4,PAE,36.1,BFI,11.5,204.52
Skyline Suites,New York,NY,JFK,5.3,LGA,13.5,EWR,16.3,180.97
Ocean View Hotel,Seattle,WA,SEA,48.1,PAE,29.8,BFI,23.9,223.78
Bay Area Hotel,New York,NY,JFK,37.1,LGA,33.6,EWR,3.9,115.64
Garden Court Hotel,Seattle,WA,SEA,12.8,PAE,40.4,BFI,47.3,258.69
Sapphire Hotel,Los Angeles,CA,LAX,10.4,BUR,27.2,LGB,28.1,240.04
Sapphire Hotel,Washington,DC,DCA,38.3,IAD,14.9,BWI,3.7,229.28
Central Park Inn,Miami,FL,MIA,5.2,FLL,4.4,PBI,45.4,207.82
Bay Area Hotel,Seattle,WA,SEA,27.4,PAE,20.4,BFI,7.3,192.42
Sunset Inn,St. Louis,MO,STL,20.0,CPS,49.9,BLV,14.5,240.32
Emerald Isle Hotel,San Francisco,CA,SFO,35.8,OAK,44.8,SJC,15.1,117.45
Ocean View Hotel,Los Angeles,CA,LAX,28.2,BUR,46.0,LGB,29.6,219.56
Sapphire Hotel,Seattle,WA,SEA,5.4,PAE,39.9,BFI,39.0,133.36
Coastal Breeze Hotel,Seattle,WA,SEA,6.9,PAE,32.5,BFI,16.7,155.85
Grand Plaza,San Francisco,CA,SFO,33.1,OAK,33.8,SJC,14.6,200.26
Metro Inn,Phoenix,AZ,PHX,20.1,AZA,22.5,SDL,37.8,252.01
Mountain Peak Lodge,New York,NY,JFK,39.3,LGA,14.2,EWR,1.2,169.42
City Center Lodge,San Francisco,CA,SFO,3.4,OAK,30.2,SJC,41.6,119.7
Metro Inn,Chicago,IL,ORD,33.7,MDW,4.6,RFD,44.7,298.59
City Center Lodge,New York,NY,JFK,6.1,LGA,5.0,EWR,28.8,180.95
Coastal Breeze Hotel,New York,NY,JFK,3.3,LGA,27.3,EWR,10.4,177.22
Sapphire Hotel,Chicago,IL,ORD,34.7,MDW,4.4,RFD,4.0,196.96
Sunset Inn,Atlanta,GA,ATL,37.3,PBI,21.7,BHM,30.0,249.58
Ocean View Hotel,Washington,DC,DCA,16.4,IAD,26.6,BWI,17.5,277.22
Lakeside Inn,Chicago,IL,ORD,23.1,MDW,13.8,RFD,48.2,204.88
Grand Plaza,Washington,DC,DCA,42.7,IAD,9.6,BWI,38.4,256.19
Sapphire Hotel,Los Angeles,CA,LAX,43.8,BUR,48.4,LGB,35.0,237.05
Palm Grove Hotel,Phoenix,AZ,PHX,7.9,AZA,17.0,SDL,7.4,154.82
Grand Plaza,New York,NY,JFK,30.0,LGA,48.3,EWR,13.4,133.84
Bay Area Hotel,New York,NY,JFK,36.9,LGA,27.2,EWR,12.8,227.63
Lakeside Inn,Miami,FL,MIA,38.1,FLL,4.4,PBI,6.9,201.11
Broadway Hotel,Phoenix,AZ,PHX,17.8,AZA,49.8,SDL,10.6,265.76
Skyline Suites,Washington,DC,DCA,14.6,IAD,19.9,BWI,17.0,251.8
