Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD),Cab Service Name,Hospital Name,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
Sunset Inn,Atlanta,GA,ATL,12.4,PBI,34.2,BHM,1,144.41,Comfort Ride,Lakeside Medical Center,ATL,26.9,PBI,28.7,BHM,38.9
Golden Gate Hotel,Atlanta,GA,ATL,40.5,PBI,14.7,BHM,35.4,216.4,Express Cab,Sunrise Hospital,ATL,7.3,PBI,48.7,BHM,25.8
Palm Grove Hotel,Atlanta,GA,ATL,8.5,PBI,34.7,BHM,37,149.81,BlueLine Taxi,Sunrise Hospital,ATL,14.9,PBI,5.2,BHM,34.8
Garden Court Hotel,Atlanta,GA,ATL,19.2,PBI,43.1,BHM,22.7,179.51,Premier Rides,Sunrise Hospital,ATL,9.8,PBI,18.6,BHM,12
Riverfront Hotel,Atlanta,GA,ATL,28.2,PBI,35.8,BHM,22,141.45,Royal Cab,Sunrise Hospital,ATL,5.7,PBI,9.6,BHM,43.3
Coastal Breeze Hotel,Atlanta,GA,ATL,44.1,PBI,46.4,BHM,18.3,298.99,Urban Cabs,City Medical Center,ATL,41.3,PBI,8.5,BHM,28.4
Grand Plaza,Atlanta,GA,ATL,43.2,PBI,35.5,BHM,12.7,106.13,Sunshine Taxi,Northside Hospital,ATL,35.6,PBI,8.8,BHM,8.5
Broadway Hotel,Atlanta,GA,ATL,1.5,PBI,25.6,BHM,43.9,224.9,Reliable Rides,Riverfront Medical Center,ATL,29.4,PBI,30.7,BHM,7.7
Pine Tree Inn,Atlanta,GA,ATL,12.6,PBI,24.1,BHM,42.6,288.64,Premier Rides,Downtown Medical Center,ATL,18.1,PBI,47,BHM,38.1
Desert Resort,Atlanta,GA,ATL,16.9,PBI,22.6,BHM,31.3,167.81,Star Taxi,Green Valley Hospital,ATL,49.5,PBI,31.5,BHM,3.7
Sapphire Hotel,Atlanta,GA,ATL,10.7,PBI,40.2,BHM,7,208.98,Quick Ride,Central Clinic,ATL,39.6,PBI,36,BHM,42
Urban Retreat,Atlanta,GA,ATL,6.2,PBI,6.5,BHM,27.9,135.11,BlueLine Taxi,Riverfront Medical Center,ATL,32.7,PBI,49,BHM,25.1
Skyline Suites,Atlanta,GA,ATL,33.4,PBI,36.7,BHM,3,276.55,Elite Taxi,Urban Health Clinic,ATL,47.7,PBI,2.3,BHM,6.3
Riverfront Hotel,Atlanta,GA,ATL,3,PBI,19.6,BHM,48.6,180.11,Speedy Taxi,Eastside Medical Center,ATL,2.6,PBI,3.3,BHM,10.1
Maple Leaf Lodge,Atlanta,GA,ATL,40.6,PBI,46,BHM,28.2,225.06,Comfort Ride,Pine Valley Hospital,ATL,26.1,PBI,15.1,BHM,33.1
Grand Plaza,Atlanta,GA,ATL,2.1,PBI,33.2,BHM,17.4,125.23,TopRide Taxi,Harbor Hospital,ATL,1.5,PBI,37.1,BHM,19.9
Maple Leaf Lodge,Atlanta,GA,ATL,19.8,PBI,46.5,BHM,10.8,282.62,Star Taxi,Eastside Medical Center,ATL,45.9,PBI,7.1,BHM,46.4
Garden Court Hotel,Atlanta,GA,ATL,28.2,PBI,4.8,BHM,8,264.12,Town Car Service,Community Hospital,ATL,39.8,PBI,47.3,BHM,31.9
Mountain Peak Lodge,Atlanta,GA,ATL,12.8,PBI,0.6,BHM,9.6,141.14,Star Taxi,Riverfront Medical Center,ATL,37.7,PBI,18.8,BHM,13.7
Pine Tree Inn,Atlanta,GA,ATL,7.6,PBI,5.5,BHM,36.6,100.23,Metro Taxi,Sunrise Hospital,ATL,29.3,PBI,13,BHM,22.6
Golden Gate Hotel,Atlanta,GA,ATL,48.4,PBI,31.2,BHM,5.1,279.23,Green Cab,Memorial Hospital,ATL,3.5,PBI,21.1,BHM,13
Harbor View Hotel,Atlanta,GA,ATL,28.8,PBI,32.9,BHM,31.6,239.08,Town Car Service,Lakeside Medical Center,ATL,25.8,PBI,3.8,BHM,7.5
Maple Leaf Lodge,Atlanta,GA,ATL,10.4,PBI,46.3,BHM,4.6,272.44,Eagle Taxi,Northeast Medical Center,ATL,45.4,PBI,17.5,BHM,41.7
Golden Gate Hotel,Atlanta,GA,ATL,33.9,PBI,25.8,BHM,31.1,236.92,Star Taxi,St. Mary's Hospital,ATL,44.4,PBI,47.9,BHM,35.3
Mountain Peak Lodge,Atlanta,GA,ATL,2.7,PBI,13.5,BHM,37.5,208.63,Golden Cab,Northeast Medical Center,ATL,16.6,PBI,37.1,BHM,20.7
Mountain Peak Lodge,Atlanta,GA,ATL,49.3,PBI,9.7,BHM,50,158.45,Alpha Cab,Downtown Medical Center,ATL,40,PBI,39.1,BHM,40.7
City Center Lodge,Atlanta,GA,ATL,2.3,PBI,12.4,BHM,38,246.98,Rapid Cab,City Health Clinic,ATL,27.6,PBI,48.2,BHM,20.6
Capitol Stay,Atlanta,GA,ATL,37.1,PBI,49.4,BHM,35.3,166.16,Express Cab,Main Street Medical Center,ATL,11.6,PBI,22.4,BHM,15.7
Harbor View Hotel,Atlanta,GA,ATL,32.7,PBI,21.1,BHM,8.4,253.29,First Choice Taxi,Memorial Hospital,ATL,28.7,PBI,5.8,BHM,25.4
Central Park Inn,Atlanta,GA,ATL,24.3,PBI,42.8,BHM,27.4,287,Royal Cab,Eastside Medical Center,ATL,17.5,PBI,15.4,BHM,5.4
Lakeside Inn,Atlanta,GA,ATL,20.9,PBI,41.3,BHM,2.9,103.5,Quick Ride,Main Street Medical Center,ATL,20.9,PBI,24.4,BHM,43.2
Ocean View Hotel,Atlanta,GA,ATL,38.4,PBI,14.8,BHM,42.6,241.28,Metro Taxi,Coastal Health Center,ATL,11.7,PBI,20.8,BHM,34
Maple Leaf Lodge,Atlanta,GA,ATL,28.1,PBI,4.2,BHM,18.6,181.44,Eagle Taxi,West End Hospital,ATL,31,PBI,11.7,BHM,38.1
Central Park Inn,Atlanta,GA,ATL,20.5,PBI,17.4,BHM,40.1,222.27,BlueLine Taxi,Valley Health Center,ATL,42.6,PBI,40.3,BHM,2.6
Garden Court Hotel,Atlanta,GA,ATL,27.1,PBI,5.4,BHM,2.5,200.18,Rapid Cab,City Health Clinic,ATL,29.9,PBI,38.9,BHM,8.1
Pine Tree Inn,Atlanta,GA,ATL,43.4,PBI,19.3,BHM,17.5,291.86,City Cab,Southern Health Clinic,ATL,15,PBI,2.2,BHM,25.8
Ocean View Hotel,Atlanta,GA,ATL,2.9,PBI,3.2,BHM,3.6,157.02,Golden Cab,Pine Valley Hospital,ATL,11.3,PBI,35.4,BHM,19.5
Urban Retreat,Atlanta,GA,ATL,25.8,PBI,46.4,BHM,3.7,277.79,Rapid Cab,Memorial Hospital,ATL,36.8,PBI,13.5,BHM,6.7
Coastal Breeze Hotel,Atlanta,GA,ATL,13,PBI,25.1,BHM,19.5,187.54,Town Car Service,Harbor Hospital,ATL,29.9,PBI,7.4,BHM,32.1
Riverfront Hotel,Atlanta,GA,ATL,37.4,PBI,2,BHM,18.1,299.34,Golden Cab,Coastal Health Center,ATL,15.6,PBI,49.2,BHM,12.8
Bay Area Hotel,Atlanta,GA,ATL,33.8,PBI,27.1,BHM,41,232.44,Best Taxi,Southern Health Clinic,ATL,31.9,PBI,26.7,BHM,48.8
Grand Plaza,Atlanta,GA,ATL,38.2,PBI,47.8,BHM,44.9,241.11,City Cab,Valley Health Center,ATL,35.7,PBI,42.7,BHM,8.1
Capitol Stay,Atlanta,GA,ATL,19.5,PBI,10.6,BHM,27.6,170.12,Golden Cab,City Medical Center,ATL,14.9,PBI,7.1,BHM,33.2
Maple Leaf Lodge,Atlanta,GA,ATL,38.2,PBI,34.8,BHM,46.1,109.58,Royal Cab,Green Valley Hospital,ATL,42.5,PBI,27.6,BHM,36.7
Central Park Inn,Atlanta,GA,ATL,6.3,PBI,11.5,BHM,19.6,291.58,Golden Cab,Harbor Hospital,ATL,0.6,PBI,5.5,BHM,38.1
Central Park Inn,Atlanta,GA,ATL,1.1,PBI,26.9,BHM,42.3,253.23,Best Taxi,Riverfront Medical Center,ATL,25.2,PBI,15.2,BHM,40.5
Metro Inn,Atlanta,GA,ATL,11.5,PBI,6.3,BHM,37,193.83,Green Cab,Eastside Medical Center,ATL,4.2,PBI,33.6,BHM,17
Lakeside Inn,Atlanta,GA,ATL,8.3,PBI,2.7,BHM,44.7,284.84,Premier Rides,Pine Valley Hospital,ATL,40,PBI,44.8,BHM,7.6
Harbor View Hotel,Atlanta,GA,ATL,31.9,PBI,48.9,BHM,14.7,237.94,Royal Cab,Memorial Hospital,ATL,47.8,PBI,29,BHM,29.4
Golden Gate Hotel,Atlanta,GA,ATL,35.1,PBI,41.2,BHM,31.7,157.78,Town Car Service,Northeast Medical Center,ATL,44.6,PBI,4.3,BHM,19.4
Urban Retreat,Atlanta,GA,ATL,31.6,PBI,46.2,BHM,7.3,290.63,Elite Taxi,Regional Medical Center,ATL,24,PBI,41.6,BHM,13.9
City Center Lodge,Atlanta,GA,ATL,43.1,PBI,39.7,BHM,50,269.78,Premier Rides,Northeast Medical Center,ATL,36.9,PBI,11.9,BHM,34.4
Sunset Inn,Atlanta,GA,ATL,38.9,PBI,33.8,BHM,44.9,123.07,Reliable Rides,City Health Clinic,ATL,10.7,PBI,42.7,BHM,27.3
Palm Grove Hotel,Atlanta,GA,ATL,8.3,PBI,41.6,BHM,14.6,118.69,Green Cab,West End Hospital,ATL,11.1,PBI,24,BHM,0.7
Crystal Waters Hotel,Atlanta,GA,ATL,19,PBI,23.1,BHM,24.3,101.57,Green Cab,Community Hospital,ATL,26.9,PBI,46.4,BHM,7.9
Central Park Inn,Atlanta,GA,ATL,2.8,PBI,49.1,BHM,20.6,108.9,Sunshine Taxi,Urban Health Clinic,ATL,4.7,PBI,36.1,BHM,0.5
Sapphire Hotel,Atlanta,GA,ATL,10.1,PBI,4.1,BHM,2.5,233.1,Rapid Cab,Regional Medical Center,ATL,24.1,PBI,12.7,BHM,27.8
Sunset Inn,Atlanta,GA,ATL,29.3,PBI,8.6,BHM,35.9,224.02,Town Car Service,City Medical Center,ATL,19.1,PBI,18,BHM,15.9
Skyline Suites,Atlanta,GA,ATL,6.4,PBI,4.7,BHM,21.8,126.3,Town Car Service,Sunrise Hospital,DCA,9.7,IAD,0.9,BWI,28
Harbor View Hotel,Atlanta,GA,ATL,29.4,PBI,33.9,BHM,48.5,214.69,Sunshine Taxi,General Hospital,DCA,14.1,IAD,46.7,BWI,43.2
Palm Grove Hotel,Atlanta,GA,ATL,3,PBI,21.6,BHM,15.6,172.56,Reliable Rides,Mountain View Hospital,DCA,3.1,IAD,10.7,BWI,25
Maple Leaf Lodge,Atlanta,GA,ATL,21.5,PBI,39.4,BHM,30.3,298.11,Reliable Rides,Central Clinic,DCA,35.1,IAD,14.4,BWI,9.9
Bay Area Hotel,Atlanta,GA,ATL,49.9,PBI,22.8,BHM,22.8,260.73,Premier Rides,Urban Health Clinic,DCA,22.9,IAD,21.9,BWI,32.5
Golden Gate Hotel,Atlanta,GA,ATL,19.2,PBI,40,BHM,46.7,226.23,Sunshine Taxi,Pine Valley Hospital,DCA,47.5,IAD,48.5,BWI,24.2
Lakeside Inn,Atlanta,GA,ATL,33.2,PBI,24,BHM,47.6,296.09,Elite Taxi,Mountain View Hospital,DCA,29.9,IAD,25.8,BWI,17.2
Palm Grove Hotel,Atlanta,GA,ATL,18.4,PBI,21.9,BHM,29.2,243.23,TopRide Taxi,Riverfront Medical Center,DCA,2.5,IAD,9.3,BWI,47.5
Desert Resort,Atlanta,GA,ATL,18.6,PBI,30.1,BHM,12.2,253.93,BlueLine Taxi,General Hospital,DCA,4.8,IAD,21.3,BWI,25.9
Central Park Inn,Atlanta,GA,ATL,8.2,PBI,9.3,BHM,19.7,233.38,Eagle Taxi,Main Street Medical Center,DCA,0.8,IAD,25.4,BWI,42.3
Mountain Peak Lodge,Atlanta,GA,ATL,29.9,PBI,8.1,BHM,33.3,265.01,Golden Cab,General Hospital,DCA,13.4,IAD,47.6,BWI,6
Desert Resort,Atlanta,GA,ATL,18.3,PBI,18.3,BHM,20.2,191.65,Comfort Ride,Northeast Medical Center,DCA,15.4,IAD,47.9,BWI,25.3
Pine Tree Inn,Atlanta,GA,ATL,49.2,PBI,5.8,BHM,42.9,116.89,Golden Cab,Urban Health Clinic,DCA,3.8,IAD,24.7,BWI,17.1
Skyline Suites,Atlanta,GA,ATL,34.3,PBI,22.8,BHM,37.3,199.37,Liberty Taxi,City Medical Center,DCA,46.3,IAD,25.2,BWI,6.7
Garden Court Hotel,Atlanta,GA,ATL,34.4,PBI,30.1,BHM,20.8,158.63,Premier Rides,Valley Health Center,DCA,28.6,IAD,17.3,BWI,13.4
Maple Leaf Lodge,Atlanta,GA,ATL,44.6,PBI,32.1,BHM,31,207.32,TopRide Taxi,Southern Health Clinic,DCA,7.9,IAD,16.7,BWI,40.1
Ocean View Hotel,Washington,DC,DCA,14.4,IAD,14.6,BWI,12.5,287.25,City Cab,Sunrise Hospital,DCA,34,IAD,34,BWI,30.6
Sapphire Hotel,Washington,DC,DCA,23.7,IAD,30.6,BWI,48.3,261.58,Comfort Ride,Lakeside Medical Center,DCA,42,IAD,38.7,BWI,12.5
Desert Resort,Washington,DC,DCA,24.9,IAD,8,BWI,30.1,110.86,Royal Cab,Southern Health Clinic,DCA,22.4,IAD,48.4,BWI,19.4
Central Park Inn,Washington,DC,DCA,1.6,IAD,43.9,BWI,48.5,135.52,Urban Cabs,West End Hospital,DCA,21.2,IAD,16.8,BWI,42.3
Palm Grove Hotel,Washington,DC,DCA,2.8,IAD,13.5,BWI,46.8,252.09,Yellow Cab,Community Hospital,DCA,13.1,IAD,23.5,BWI,27.2
Harbor View Hotel,Washington,DC,DCA,22.8,IAD,47.9,BWI,7,218.88,Star Taxi,Lakeside Medical Center,DCA,22.2,IAD,43.4,BWI,35.8
Mountain Peak Lodge,Washington,DC,DCA,48.8,IAD,11.5,BWI,14.2,217.97,Metro Taxi,Urban Health Clinic,DCA,20.8,IAD,37.4,BWI,46.7
Sunset Inn,Washington,DC,DCA,20.6,IAD,18.2,BWI,3.2,183.48,First Choice Taxi,Urban Health Clinic,DCA,44.5,IAD,13,BWI,49.4
Palm Grove Hotel,Washington,DC,DCA,26.1,IAD,33.1,BWI,11.9,168.04,Premier Rides,Coastal Health Center,DCA,33.3,IAD,28.9,BWI,34.1
Urban Retreat,Washington,DC,DCA,19,IAD,16.1,BWI,21.8,196.29,Express Cab,Riverfront Medical Center,DCA,48.9,IAD,44.8,BWI,39.9
Ocean View Hotel,Washington,DC,DCA,43.2,IAD,9.2,BWI,31.3,247.09,BlueLine Taxi,Riverfront Medical Center,DCA,14.9,IAD,17.7,BWI,21.6
Lakeside Inn,Washington,DC,DCA,41.3,IAD,37.4,BWI,33.1,175.12,Premier Rides,Central Clinic,DCA,39.4,IAD,24.7,BWI,33
Harbor View Hotel,Washington,DC,DCA,8.2,IAD,41.9,BWI,3.8,123.57,Yellow Cab,Southern Health Clinic,DCA,44.9,IAD,48.7,BWI,6.9
Sapphire Hotel,Washington,DC,DCA,29.3,IAD,40.5,BWI,10.2,264.56,Speedy Taxi,Main Street Medical Center,DCA,27.9,IAD,5.9,BWI,36.5
City Center Lodge,Washington,DC,DCA,1.2,IAD,17.9,BWI,28.5,209.28,Alpha Cab,Valley Health Center,DCA,44.8,IAD,9.9,BWI,23.1
Sunset Inn,Washington,DC,DCA,22.7,IAD,23.2,BWI,26.8,242.27,Eagle Taxi,General Hospital,DCA,19.3,IAD,28.3,BWI,49.7
Bay Area Hotel,Washington,DC,DCA,27.1,IAD,2.2,BWI,2.9,131.85,Yellow Cab,Sunrise Hospital,DCA,47.6,IAD,26.3,BWI,46.4
Bay Area Hotel,Washington,DC,DCA,20.5,IAD,14.2,BWI,15.7,260.74,Town Car Service,Lakeside Medical Center,DCA,22.3,IAD,37.7,BWI,45.4
Palm Grove Hotel,Washington,DC,DCA,27.1,IAD,39.4,BWI,2.6,100.72,Green Cab,Green Valley Hospital,DCA,14.3,IAD,14.7,BWI,32.3
Palm Grove Hotel,Washington,DC,DCA,37,IAD,36.1,BWI,32.2,176.05,Premier Rides,Downtown Medical Center,DCA,40,IAD,7.3,BWI,48
Sunset Inn,Washington,DC,DCA,38.8,IAD,41.2,BWI,38.2,278.64,Comfort Ride,St. Mary's Hospital,DCA,4.6,IAD,23.4,BWI,12.9
Urban Retreat,Washington,DC,DCA,47.7,IAD,8.8,BWI,5.6,222.42,TopRide Taxi,City Health Clinic,DCA,38.8,IAD,18.7,BWI,37.4
Capitol Stay,Washington,DC,DCA,31.4,IAD,8.7,BWI,30.8,130.98,Liberty Taxi,Riverfront Medical Center,DCA,32.6,IAD,14.4,BWI,12.7
Lakeside Inn,Washington,DC,DCA,38.8,IAD,22.3,BWI,46.7,206.26,Liberty Taxi,Community Hospital,DCA,13.2,IAD,29.8,BWI,5
Garden Court Hotel,Washington,DC,DCA,6.8,IAD,3.5,BWI,33.3,257.71,Premier Rides,Central Clinic,DCA,29.9,IAD,29.2,BWI,45.1
Maple Leaf Lodge,Washington,DC,DCA,23.6,IAD,1.8,BWI,7.9,115.43,Urban Cabs,Central Clinic,DCA,11.1,IAD,38.4,BWI,26.5
Crystal Waters Hotel,Washington,DC,DCA,5.1,IAD,8.6,BWI,38,286.25,Premier Rides,Central Clinic,DCA,17.3,IAD,11.2,BWI,36.8
Sapphire Hotel,Washington,DC,DCA,37.1,IAD,34.6,BWI,47.6,213.53,Green Cab,Mountain View Hospital,DCA,35.2,IAD,11.5,BWI,5.3
Maple Leaf Lodge,Washington,DC,DCA,32.4,IAD,26.7,BWI,15.8,107.15,Rapid Cab,Memorial Hospital,DCA,27.9,IAD,0.9,BWI,46.5
Sunset Inn,Washington,DC,DCA,24,IAD,4.6,BWI,10.4,194.1,Royal Cab,Green Valley Hospital,DCA,23.8,IAD,39.9,BWI,15.5
Broadway Hotel,Washington,DC,DCA,18.6,IAD,24.3,BWI,32,227.75,Golden Cab,City Medical Center,DCA,24.8,IAD,23.9,BWI,3.2
Grand Plaza,Washington,DC,DCA,42.7,IAD,9.6,BWI,38.4,256.19,First Choice Taxi,Northeast Medical Center,DCA,38.6,IAD,24.7,BWI,30.7
Riverfront Hotel,Washington,DC,DCA,29.5,IAD,7,BWI,47.2,132.09,Comfort Ride,Pine Valley Hospital,DCA,28.8,IAD,18.5,BWI,48
Skyline Suites,Washington,DC,DCA,14.6,IAD,19.9,BWI,17,251.8,Town Car Service,West End Hospital,DCA,1.9,IAD,9.1,BWI,13
Pine Tree Inn,Washington,DC,DCA,7.5,IAD,41.9,BWI,31.3,280.82,Urban Cabs,Mountain View Hospital,DCA,39.9,IAD,19.6,BWI,20.2
Harbor View Hotel,Washington,DC,DCA,7.3,IAD,46.1,BWI,35.4,148.25,Comfort Ride,City Medical Center,DCA,36.2,IAD,11.5,BWI,35.4
Ocean View Hotel,Washington,DC,DCA,16.4,IAD,26.6,BWI,17.5,277.22,Comfort Ride,Pine Valley Hospital,DCA,29.2,IAD,27.6,BWI,38.9
Pine Tree Inn,Washington,DC,DCA,36.7,IAD,25.4,BWI,28.1,142.47,Elite Taxi,Sunrise Hospital,DCA,45.2,IAD,12,BWI,10.6
Desert Resort,Washington,DC,DCA,2,IAD,10.8,BWI,5.3,218.4,Premier Rides,Coastal Health Center,DCA,21.9,IAD,38.9,BWI,41.5
Sunset Inn,Washington,DC,DCA,45.8,IAD,9,BWI,29.7,196.94,City Cab,Urban Health Clinic,DCA,32.5,IAD,4.1,BWI,20.4
Central Park Inn,Washington,DC,DCA,9.5,IAD,47.4,BWI,36.6,126.43,Sunshine Taxi,Central Clinic,DCA,26.6,IAD,4.9,BWI,18.7
Capitol Stay,Washington,DC,DCA,49.7,IAD,23.2,BWI,17.6,111.41,Town Car Service,Southern Health Clinic,DCA,29.6,IAD,46.2,BWI,48
Mountain Peak Lodge,Washington,DC,DCA,6,IAD,24.7,BWI,24.7,292.34,Eagle Taxi,Sunrise Hospital,DCA,16.4,IAD,5.2,BWI,40.2
City Center Lodge,Washington,DC,DCA,24,IAD,5.3,BWI,32,232.54,Alpha Cab,Valley Health Center,DCA,17.4,IAD,12.3,BWI,47.1
City Center Lodge,Washington,DC,DCA,29.9,IAD,34,BWI,14.4,182.5,Quick Ride,Northeast Medical Center,DCA,11.1,IAD,2.9,BWI,15.4
Coastal Breeze Hotel,Washington,DC,DCA,42.9,IAD,39.1,BWI,37.9,104.12,Elite Taxi,City Medical Center,DCA,36.7,IAD,25.4,BWI,37.1
Central Park Inn,Washington,DC,DCA,35.6,IAD,45.6,BWI,27.2,287,Golden Cab,Downtown Medical Center,DCA,12.8,IAD,6.2,BWI,37.1
Harbor View Hotel,Washington,DC,DCA,12.9,IAD,12.7,BWI,19.6,174.65,Quick Ride,Green Valley Hospital,DCA,9.7,IAD,49.7,BWI,10.5
Skyline Suites,Washington,DC,DCA,31.1,IAD,16.3,BWI,23.1,276.66,Best Taxi,City Medical Center,DCA,9.2,IAD,2.2,BWI,17.5
Lakeside Inn,Washington,DC,DCA,19.2,IAD,42.5,BWI,29.8,225.17,Royal Cab,Main Street Medical Center,DCA,32.4,IAD,6.1,BWI,18
Crystal Waters Hotel,Washington,DC,DCA,9.3,IAD,42.2,BWI,36.9,259.82,Star Taxi,Northeast Medical Center,DCA,31.1,IAD,44.2,BWI,38.9
Grand Plaza,Washington,DC,DCA,19.8,IAD,20.3,BWI,44,211.95,First Choice Taxi,Coastal Health Center,DCA,48.6,IAD,40.7,BWI,14.8
Maple Leaf Lodge,Washington,DC,DCA,48.1,IAD,2.7,BWI,12.6,139.81,Metro Taxi,Pine Valley Hospital,DCA,2.7,IAD,12.8,BWI,16
Bay Area Hotel,Washington,DC,DCA,27.1,IAD,40.2,BWI,41.4,166.94,Express Cab,Urban Health Clinic,DCA,12.8,IAD,35.2,BWI,5.6
Central Park Inn,Washington,DC,DCA,17.1,IAD,27.2,BWI,48.6,130.13,Metro Taxi,Coastal Health Center,DCA,40,IAD,18.6,BWI,25.9
Emerald Isle Hotel,Washington,DC,DCA,27.8,IAD,7.5,BWI,41,126.47,Best Taxi,Central Clinic,DCA,28.4,IAD,36.6,BWI,41
Sapphire Hotel,Washington,DC,DCA,38.3,IAD,14.9,BWI,3.7,229.28,Urban Cabs,Regional Medical Center,DCA,38.4,IAD,41.3,BWI,47.3
Harbor View Hotel,Washington,DC,DCA,7.6,IAD,31.7,BWI,1.5,102.67,Premier Rides,West End Hospital,DCA,27.6,IAD,29.1,BWI,40
Urban Retreat,Washington,DC,DCA,21.6,IAD,25.7,BWI,18.6,187.26,Comfort Ride,Southern Health Clinic,DCA,33.2,IAD,42.7,BWI,25
