Hospital Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
Eastside Medical Center,Chicago,IL,ORD,41.2,MDW,32.8,RFD,29.1
Pine Valley Hospital,Washington,DC,DCA,32.2,IAD,42.3,BWI,47.6
Eastside Medical Center,Chicago,IL,ORD,4.7,MDW,42.5,RFD,11.7
Mountain View Hospital,Miami,FL,MIA,20.5,FLL,17.1,PBI,35.2
Northeast Medical Center,San Francisco,CA,SFO,12.6,OAK,20.1,SJC,4.3
Coastal Health Center,Atlanta,GA,ATL,11.7,PBI,20.8,BHM,34.0
Valley Health Center,Phoenix,AZ,PHX,20.6,AZA,48.5,SDL,25.6
Riverfront Medical Center,San Francisco,CA,SFO,29.2,OAK,33.5,SJC,17.9
Urban Health Clinic,Phoenix,AZ,PHX,33.5,AZA,44.0,SDL,1.0
Lakeside Medical Center,San Francisco,CA,SFO,17.7,OAK,46.2,SJC,10.1
General Hospital,St. Louis,MO,STL,9.6,CPS,19.0,BLV,18.2
Mountain View Hospital,Seattle,WA,SEA,1.1,PAE,22.7,BFI,47.7
Lakeside Medical Center,Los Angeles,CA,LAX,33.0,BUR,18.4,LGB,19.7
Southern Health Clinic,Chicago,IL,ORD,12.6,MDW,25.4,RFD,2.8
West End Hospital,Chicago,IL,ORD,35.2,MDW,11.6,RFD,16.6
Sunrise Hospital,Miami,FL,MIA,26.4,FLL,16.3,PBI,26.7
Northeast Medical Center,San Francisco,CA,SFO,5.6,OAK,34.7,SJC,45.5
Pine Valley Hospital,Washington,DC,DCA,2.7,IAD,12.8,BWI,16.0
Central Clinic,Chicago,IL,ORD,40.6,MDW,46.3,RFD,44.7
Coastal Health Center,Washington,DC,DCA,48.6,IAD,40.7,BWI,14.8
Lakeside Medical Center,New York,NY,JFK,42.5,LGA,43.5,EWR,3.6
Main Street Medical Center,Washington,DC,DCA,32.4,IAD,6.1,BWI,18.0
City Medical Center,Washington,DC,DCA,9.2,IAD,2.2,BWI,17.5
Urban Health Clinic,New York,NY,JFK,41.0,LGA,25.3,EWR,11.5
Downtown Medical Center,Miami,FL,MIA,25.6,FLL,5.6,PBI,33.3
Pine Valley Hospital,New York,NY,JFK,1.4,LGA,39.7,EWR,46.7
Memorial Hospital,St. Louis,MO,STL,18.2,CPS,9.8,BLV,4.1
Valley Health Center,Washington,DC,DCA,17.4,IAD,12.3,BWI,47.1
Northside Hospital,Atlanta,GA,ATL,12.5,PBI,22.8,BHM,12.5
Mountain View Hospital,St. Louis,MO,STL,18.2,CPS,3.8,BLV,18.6
Downtown Medical Center,Chicago,IL,ORD,44.2,MDW,23.7,RFD,3.6
Lakeside Medical Center,St. Louis,MO,STL,39.4,CPS,36.8,BLV,35.2
Central Clinic,Washington,DC,DCA,26.6,IAD,4.9,BWI,18.7
Northside Hospital,San Francisco,CA,SFO,49.7,OAK,35.3,SJC,27.9
Northside Hospital,St. Louis,MO,STL,17.4,CPS,13.7,BLV,39.0
Northside Hospital,Atlanta,GA,ATL,26.7,PBI,45.8,BHM,29.3
Riverfront Medical Center,Miami,FL,MIA,19.0,FLL,27.9,PBI,43.6
Sunrise Hospital,Washington,DC,DCA,45.2,IAD,12.0,BWI,10.6
Central Clinic,Seattle,WA,SEA,24.3,PAE,2.6,BFI,48.3
City Medical Center,Los Angeles,CA,LAX,42.9,BUR,2.5,LGB,27.8
Pine Valley Hospital,New York,NY,JFK,24.8,LGA,24.9,EWR,43.4
Eastside Medical Center,Los Angeles,CA,LAX,32.9,BUR,41.9,LGB,13.1
Coastal Health Center,Seattle,WA,SEA,21.8,PAE,24.7,BFI,39.6
Northside Hospital,Atlanta,GA,ATL,23.2,PBI,1.4,BHM,45.0
Valley Health Center,Los Angeles,CA,LAX,19.8,BUR,41.7,LGB,23.4
Main Street Medical Center,Chicago,IL,ORD,10.3,MDW,13.8,RFD,17.8
St. Mary's Hospital,Los Angeles,CA,LAX,28.7,BUR,35.1,LGB,47.7
Sunrise Hospital,Washington,DC,DCA,24.4,IAD,36.0,BWI,35.1
Riverfront Medical Center,Miami,FL,MIA,8.6,FLL,13.2,PBI,6.6
Pine Valley Hospital,Atlanta,GA,ATL,18.3,PBI,6.6,BHM,27.9
Downtown Medical Center,New York,NY,JFK,24.7,LGA,15.5,EWR,1.3
West End Hospital,Atlanta,GA,ATL,46.0,PBI,47.7,BHM,22.8
West End Hospital,Atlanta,GA,ATL,26.2,PBI,36.3,BHM,5.6
Urban Health Clinic,New York,NY,JFK,22.1,LGA,34.6,EWR,4.8
Pine Valley Hospital,Phoenix,AZ,PHX,27.5,AZA,18.2,SDL,26.3
Northeast Medical Center,St. Louis,MO,STL,10.6,CPS,15.2,BLV,34.5
Regional Medical Center,Phoenix,AZ,PHX,9.0,AZA,19.6,SDL,14.5
Coastal Health Center,San Francisco,CA,SFO,35.4,OAK,37.1,SJC,34.1
Lakeside Medical Center,Los Angeles,CA,LAX,46.7,BUR,21.1,LGB,26.3
Community Hospital,Phoenix,AZ,PHX,1.6,AZA,43.3,SDL,30.7
Sunrise Hospital,Los Angeles,CA,LAX,38.5,BUR,31.1,LGB,22.9
Southern Health Clinic,St. Louis,MO,STL,31.1,CPS,0.6,BLV,42.4
City Health Clinic,Phoenix,AZ,PHX,43.7,AZA,46.3,SDL,14.7
St. Mary's Hospital,Miami,FL,MIA,9.0,FLL,8.4,PBI,48.6
Central Clinic,Los Angeles,CA,LAX,4.1,BUR,10.3,LGB,41.6
Green Valley Hospital,New York,NY,JFK,32.5,LGA,46.9,EWR,31.3
West End Hospital,St. Louis,MO,STL,29.3,CPS,38.2,BLV,15.6
Community Hospital,Seattle,WA,SEA,21.5,PAE,26.9,BFI,37.3
Lakeside Medical Center,Phoenix,AZ,PHX,41.1,AZA,5.2,SDL,23.6
Valley Health Center,San Francisco,CA,SFO,25.3,OAK,16.4,SJC,21.7
Valley Health Center,New York,NY,JFK,1.1,LGA,5.4,EWR,8.4
Memorial Hospital,Washington,DC,DCA,36.9,IAD,1.0,BWI,7.9
General Hospital,St. Louis,MO,STL,12.2,CPS,30.1,BLV,41.9
Lakeside Medical Center,Seattle,WA,SEA,38.3,PAE,48.1,BFI,22.3
Coastal Health Center,Washington,DC,DCA,25.9,IAD,6.8,BWI,30.7
Sunrise Hospital,St. Louis,MO,STL,0.9,CPS,4.5,BLV,19.5
Central Clinic,Los Angeles,CA,LAX,23.0,BUR,38.4,LGB,20.9
Mountain View Hospital,Los Angeles,CA,LAX,22.7,BUR,11.0,LGB,36.1
Eastside Medical Center,Atlanta,GA,ATL,45.9,PBI,7.1,BHM,46.4
City Health Clinic,Chicago,IL,ORD,13.7,MDW,7.5,RFD,12.3
Lakeside Medical Center,Phoenix,AZ,PHX,18.3,AZA,20.2,SDL,30.7
Valley Health Center,Los Angeles,CA,LAX,21.4,BUR,15.6,LGB,26.4
Southern Health Clinic,Washington,DC,DCA,36.8,IAD,3.4,BWI,15.6
Green Valley Hospital,San Francisco,CA,SFO,20.6,OAK,3.9,SJC,28.5
Downtown Medical Center,St. Louis,MO,STL,9.8,CPS,29.1,BLV,48.9
Southern Health Clinic,Phoenix,AZ,PHX,24.3,AZA,19.5,SDL,21.9
Urban Health Clinic,St. Louis,MO,STL,33.2,CPS,10.0,BLV,30.9
Harbor Hospital,Miami,FL,MIA,40.0,FLL,40.2,PBI,38.4
Central Clinic,St. Louis,MO,STL,19.5,CPS,8.5,BLV,36.9
City Health Clinic,San Francisco,CA,SFO,30.9,OAK,38.6,SJC,31.2
City Medical Center,Chicago,IL,ORD,23.2,MDW,9.7,RFD,8.3
Northside Hospital,Atlanta,GA,ATL,35.6,PBI,8.8,BHM,8.5
Downtown Medical Center,St. Louis,MO,STL,28.9,CPS,38.6,BLV,19.9
Memorial Hospital,New York,NY,JFK,7.3,LGA,20.3,EWR,5.9
Urban Health Clinic,Chicago,IL,ORD,33.8,MDW,24.5,RFD,12.0
Sunrise Hospital,Atlanta,GA,ATL,5.7,PBI,9.6,BHM,43.3
Riverfront Medical Center,St. Louis,MO,STL,6.8,CPS,24.5,BLV,11.6
Northside Hospital,St. Louis,MO,STL,6.5,CPS,30.8,BLV,28.3
Green Valley Hospital,St. Louis,MO,STL,46.3,CPS,42.4,BLV,36.5
Southern Health Clinic,Miami,FL,MIA,24.5,FLL,29.5,PBI,3.5
Mountain View Hospital,New York,NY,JFK,25.4,LGA,18.4,EWR,49.8
Pine Valley Hospital,Los Angeles,CA,LAX,3.8,BUR,27.2,LGB,47.6
Central Clinic,Los Angeles,CA,LAX,18.3,BUR,21.3,LGB,14.5
Northeast Medical Center,St. Louis,MO,STL,33.1,CPS,5.6,BLV,33.6
Mountain View Hospital,St. Louis,MO,STL,5.4,CPS,26.3,BLV,1.5
General Hospital,Chicago,IL,ORD,45.2,MDW,29.3,RFD,22.0
Memorial Hospital,Chicago,IL,ORD,1.4,MDW,18.4,RFD,13.1
General Hospital,St. Louis,MO,STL,12.1,CPS,3.4,BLV,30.1
Memorial Hospital,San Francisco,CA,SFO,19.2,OAK,17.2,SJC,2.6
Urban Health Clinic,Los Angeles,CA,LAX,32.4,BUR,38.5,LGB,12.5
General Hospital,Washington,DC,DCA,13.4,IAD,47.6,BWI,6.0
Urban Health Clinic,St. Louis,MO,STL,30.2,CPS,40.1,BLV,37.0
Mountain View Hospital,Los Angeles,CA,LAX,40.9,BUR,16.4,LGB,36.4
St. Mary's Hospital,New York,NY,JFK,12.7,LGA,42.6,EWR,27.4
Riverfront Medical Center,Washington,DC,DCA,2.5,IAD,9.3,BWI,47.5
Memorial Hospital,Miami,FL,MIA,20.0,FLL,41.7,PBI,32.9
City Health Clinic,Miami,FL,MIA,36.1,FLL,40.6,PBI,11.5
Memorial Hospital,Atlanta,GA,ATL,3.5,PBI,21.1,BHM,13.0
Sunrise Hospital,St. Louis,MO,STL,39.4,CPS,38.0,BLV,33.2
General Hospital,Washington,DC,DCA,19.3,IAD,28.3,BWI,49.7
Northeast Medical Center,Chicago,IL,ORD,12.6,MDW,19.6,RFD,24.4
Northeast Medical Center,San Francisco,CA,SFO,19.1,OAK,25.7,SJC,25.4
Lakeside Medical Center,Atlanta,GA,ATL,26.9,PBI,28.7,BHM,38.9
City Health Clinic,Los Angeles,CA,LAX,48.8,BUR,17.9,LGB,34.6
Harbor Hospital,Atlanta,GA,ATL,13.6,PBI,17.7,BHM,36.7
Sunrise Hospital,Seattle,WA,SEA,35.7,PAE,23.7,BFI,2.6
Southern Health Clinic,Phoenix,AZ,PHX,20.5,AZA,19.8,SDL,17.7
Urban Health Clinic,Seattle,WA,SEA,49.7,PAE,19.4,BFI,35.0
Valley Health Center,Chicago,IL,ORD,47.9,MDW,30.7,RFD,18.7
St. Mary's Hospital,Seattle,WA,SEA,32.7,PAE,22.0,BFI,39.5
Riverfront Medical Center,Washington,DC,DCA,32.6,IAD,14.4,BWI,12.7
Urban Health Clinic,Los Angeles,CA,LAX,9.4,BUR,44.0,LGB,46.7
Sunrise Hospital,New York,NY,JFK,41.7,LGA,6.9,EWR,34.5
Central Clinic,St. Louis,MO,STL,13.8,CPS,40.2,BLV,32.9
Downtown Medical Center,Washington,DC,DCA,40.0,IAD,7.3,BWI,48.0
Lakeside Medical Center,Atlanta,GA,ATL,35.4,PBI,1.8,BHM,0.6
Green Valley Hospital,Washington,DC,DCA,23.8,IAD,39.9,BWI,15.5
Main Street Medical Center,Chicago,IL,ORD,24.8,MDW,17.4,RFD,34.4
Northeast Medical Center,Chicago,IL,ORD,45.8,MDW,18.9,RFD,9.8
Sunrise Hospital,Seattle,WA,SEA,19.1,PAE,17.2,BFI,32.1
Central Clinic,New York,NY,JFK,37.6,LGA,39.8,EWR,12.6
City Medical Center,Washington,DC,DCA,24.8,IAD,23.9,BWI,3.2
City Medical Center,San Francisco,CA,SFO,22.6,OAK,19.1,SJC,15.0
Urban Health Clinic,St. Louis,MO,STL,22.0,CPS,37.2,BLV,38.8
Urban Health Clinic,Seattle,WA,SEA,15.7,PAE,45.6,BFI,2.4
Coastal Health Center,Washington,DC,DCA,33.3,IAD,28.9,BWI,34.1
Mountain View Hospital,Phoenix,AZ,PHX,43.7,AZA,42.2,SDL,33.9
Eastside Medical Center,Chicago,IL,ORD,41.1,MDW,43.7,RFD,33.8
City Health Clinic,Phoenix,AZ,PHX,6.4,AZA,21.9,SDL,4.7
Urban Health Clinic,Phoenix,AZ,PHX,46.6,AZA,15.8,SDL,13.9
St. Mary's Hospital,San Francisco,CA,SFO,29.6,OAK,4.2,SJC,16.3
Community Hospital,Seattle,WA,SEA,17.3,PAE,18.2,BFI,24.5
Urban Health Clinic,Miami,FL,MIA,4.9,FLL,42.8,PBI,12.3
Downtown Medical Center,Atlanta,GA,ATL,40.0,PBI,39.1,BHM,40.7
Southern Health Clinic,New York,NY,JFK,24.3,LGA,16.1,EWR,35.3
Central Clinic,New York,NY,JFK,38.0,LGA,24.9,EWR,42.6
Eastside Medical Center,Miami,FL,MIA,48.4,FLL,34.4,PBI,49.3
Harbor Hospital,Seattle,WA,SEA,2.4,PAE,1.5,BFI,17.5
Northeast Medical Center,San Francisco,CA,SFO,4.6,OAK,24.8,SJC,34.9
Valley Health Center,Chicago,IL,ORD,46.4,MDW,5.8,RFD,32.8
Valley Health Center,Los Angeles,CA,LAX,35.1,BUR,18.5,LGB,45.4
Regional Medical Center,Los Angeles,CA,LAX,21.5,BUR,31.3,LGB,1.5
Mountain View Hospital,Seattle,WA,SEA,7.4,PAE,46.9,BFI,27.2
Downtown Medical Center,Chicago,IL,ORD,26.8,MDW,16.6,RFD,47.7
Sunrise Hospital,Miami,FL,MIA,20.0,FLL,14.1,PBI,46.5
Memorial Hospital,Atlanta,GA,ATL,28.7,PBI,5.8,BHM,25.4
Lakeside Medical Center,St. Louis,MO,STL,3.7,CPS,49.7,BLV,23.0
Central Clinic,Los Angeles,CA,LAX,32.1,BUR,18.7,LGB,28.3
General Hospital,Miami,FL,MIA,24.4,FLL,16.9,PBI,12.5
Northside Hospital,St. Louis,MO,STL,16.0,CPS,13.6,BLV,17.8
Pine Valley Hospital,Atlanta,GA,ATL,11.3,PBI,35.4,BHM,19.5
City Medical Center,Seattle,WA,SEA,25.7,PAE,13.7,BFI,43.5
Eastside Medical Center,St. Louis,MO,STL,36.7,CPS,44.0,BLV,8.4
Valley Health Center,St. Louis,MO,STL,5.6,CPS,38.4,BLV,16.1
Mountain View Hospital,Washington,DC,DCA,35.2,IAD,11.5,BWI,5.3
City Health Clinic,San Francisco,CA,SFO,4.4,OAK,21.5,SJC,14.5
Southern Health Clinic,Washington,DC,DCA,22.4,IAD,48.4,BWI,19.4
Southern Health Clinic,Phoenix,AZ,PHX,7.0,AZA,2.5,SDL,41.7
Valley Health Center,Miami,FL,MIA,38.6,FLL,27.6,PBI,31.8
Riverfront Medical Center,New York,NY,JFK,41.0,LGA,18.1,EWR,36.8
City Medical Center,Miami,FL,MIA,25.6,FLL,19.1,PBI,43.4
General Hospital,Los Angeles,CA,LAX,7.8,BUR,4.3,LGB,42.9
Southern Health Clinic,Miami,FL,MIA,33.3,FLL,26.3,PBI,34.9
Valley Health Center,Chicago,IL,ORD,26.3,MDW,38.9,RFD,33.0
Valley Health Center,Chicago,IL,ORD,17.3,MDW,14.0,RFD,9.2
Sunrise Hospital,Phoenix,AZ,PHX,9.0,AZA,22.9,SDL,30.5
General Hospital,Chicago,IL,ORD,19.7,MDW,3.2,RFD,25.3
West End Hospital,New York,NY,JFK,33.4,LGA,16.6,EWR,33.0
West End Hospital,Phoenix,AZ,PHX,3.3,AZA,5.8,SDL,22.6
Regional Medical Center,San Francisco,CA,SFO,21.0,OAK,1.8,SJC,20.3
West End Hospital,Los Angeles,CA,LAX,17.1,BUR,33.9,LGB,9.2
Valley Health Center,Chicago,IL,ORD,41.0,MDW,37.5,RFD,14.6
Downtown Medical Center,Miami,FL,MIA,4.9,FLL,31.4,PBI,40.0
Pine Valley Hospital,Washington,DC,DCA,47.5,IAD,48.5,BWI,24.2
Southern Health Clinic,Los Angeles,CA,LAX,5.5,BUR,20.7,LGB,24.9
Community Hospital,St. Louis,MO,STL,7.7,CPS,25.1,BLV,49.5
City Health Clinic,Miami,FL,MIA,36.5,FLL,22.2,PBI,42.2
St. Mary's Hospital,St. Louis,MO,STL,27.2,CPS,39.6,BLV,10.7
General Hospital,Phoenix,AZ,PHX,8.0,AZA,15.9,SDL,23.1
Northeast Medical Center,Miami,FL,MIA,12.6,FLL,47.7,PBI,14.0
Northeast Medical Center,Los Angeles,CA,LAX,15.4,BUR,44.6,LGB,14.0
St. Mary's Hospital,Los Angeles,CA,LAX,41.0,BUR,33.7,LGB,11.7
Downtown Medical Center,Chicago,IL,ORD,42.4,MDW,10.3,RFD,7.3
Southern Health Clinic,Chicago,IL,ORD,9.6,MDW,20.6,RFD,19.2
Sunrise Hospital,Chicago,IL,ORD,24.5,MDW,22.3,RFD,10.9
Memorial Hospital,San Francisco,CA,SFO,43.0,OAK,43.3,SJC,35.2
Urban Health Clinic,Miami,FL,MIA,18.9,FLL,20.9,PBI,30.9
City Health Clinic,Los Angeles,CA,LAX,44.9,BUR,39.4,LGB,19.5
Valley Health Center,Chicago,IL,ORD,3.5,MDW,6.7,RFD,6.4
Main Street Medical Center,New York,NY,JFK,10.3,LGA,9.1,EWR,34.8
Southern Health Clinic,Chicago,IL,ORD,41.7,MDW,7.5,RFD,5.2
Community Hospital,Phoenix,AZ,PHX,9.7,AZA,16.8,SDL,40.6
Lakeside Medical Center,Miami,FL,MIA,6.1,FLL,9.7,PBI,2.5
Northside Hospital,San Francisco,CA,SFO,46.0,OAK,19.9,SJC,13.5
Riverfront Medical Center,St. Louis,MO,STL,4.7,CPS,31.3,BLV,17.1
Community Hospital,Phoenix,AZ,PHX,37.8,AZA,49.2,SDL,19.2
Mountain View Hospital,Seattle,WA,SEA,10.0,PAE,24.5,BFI,37.2
City Medical Center,Atlanta,GA,ATL,19.1,PBI,18.0,BHM,15.9
City Medical Center,Phoenix,AZ,PHX,45.6,AZA,10.3,SDL,29.9
Eastside Medical Center,Seattle,WA,SEA,9.9,PAE,45.3,BFI,38.1
Regional Medical Center,Atlanta,GA,ATL,42.5,PBI,26.3,BHM,34.9
Sunrise Hospital,Phoenix,AZ,PHX,0.8,AZA,38.7,SDL,40.7
General Hospital,Miami,FL,MIA,20.0,FLL,27.9,PBI,36.3
Downtown Medical Center,Phoenix,AZ,PHX,46.4,AZA,6.5,SDL,11.6
Sunrise Hospital,Washington,DC,DCA,47.6,IAD,26.3,BWI,46.4
Main Street Medical Center,Chicago,IL,ORD,17.1,MDW,12.3,RFD,6.6
Valley Health Center,San Francisco,CA,SFO,6.6,OAK,1.6,SJC,41.3
Northside Hospital,Seattle,WA,SEA,23.1,PAE,42.6,BFI,37.9
Coastal Health Center,New York,NY,JFK,45.5,LGA,38.3,EWR,25.2
City Health Clinic,New York,NY,JFK,42.6,LGA,11.8,EWR,37.1
Urban Health Clinic,Washington,DC,DCA,3.8,IAD,24.7,BWI,17.1
Northside Hospital,St. Louis,MO,STL,2.1,CPS,6.3,BLV,42.0
Lakeside Medical Center,St. Louis,MO,STL,32.5,CPS,23.6,BLV,27.2
City Health Clinic,Seattle,WA,SEA,10.0,PAE,11.7,BFI,12.9
Riverfront Medical Center,Los Angeles,CA,LAX,20.5,BUR,8.9,LGB,7.8
City Health Clinic,Chicago,IL,ORD,5.0,MDW,44.7,RFD,49.1
Southern Health Clinic,Washington,DC,DCA,44.9,IAD,48.7,BWI,6.9
Eastside Medical Center,Chicago,IL,ORD,10.2,MDW,31.6,RFD,21.1
Sunrise Hospital,St. Louis,MO,STL,30.1,CPS,31.9,BLV,18.1
Harbor Hospital,St. Louis,MO,STL,25.0,CPS,3.3,BLV,12.5
Northside Hospital,Chicago,IL,ORD,28.4,MDW,31.1,RFD,32.9
Riverfront Medical Center,Atlanta,GA,ATL,29.4,PBI,30.7,BHM,7.7
Northeast Medical Center,Washington,DC,DCA,39.4,IAD,28.4,BWI,4.3
Green Valley Hospital,Chicago,IL,ORD,42.5,MDW,36.1,RFD,21.7
General Hospital,Miami,FL,MIA,43.8,FLL,26.9,PBI,32.3
City Medical Center,Washington,DC,DCA,13.7,IAD,20.0,BWI,24.4
Mountain View Hospital,Chicago,IL,ORD,19.3,MDW,44.8,RFD,12.0
Harbor Hospital,St. Louis,MO,STL,20.1,CPS,9.4,BLV,45.2
General Hospital,Washington,DC,DCA,32.8,IAD,25.1,BWI,14.5
Southern Health Clinic,St. Louis,MO,STL,45.8,CPS,18.7,BLV,8.1
Harbor Hospital,Los Angeles,CA,LAX,13.5,BUR,11.1,LGB,46.6
Southern Health Clinic,Chicago,IL,ORD,41.2,MDW,12.1,RFD,7.8
Green Valley Hospital,Chicago,IL,ORD,31.3,MDW,35.5,RFD,0.9
City Medical Center,New York,NY,JFK,49.3,LGA,36.4,EWR,37.1
Eastside Medical Center,Chicago,IL,ORD,42.1,MDW,33.5,RFD,30.0
Southern Health Clinic,Seattle,WA,SEA,24.6,PAE,46.2,BFI,37.8
General Hospital,Los Angeles,CA,LAX,13.0,BUR,43.2,LGB,34.0
Main Street Medical Center,St. Louis,MO,STL,2.0,CPS,35.4,BLV,18.9
Southern Health Clinic,Phoenix,AZ,PHX,43.7,AZA,16.1,SDL,13.2
General Hospital,Phoenix,AZ,PHX,21.8,AZA,34.1,SDL,1.8
Riverfront Medical Center,St. Louis,MO,STL,32.6,CPS,20.0,BLV,8.5
Green Valley Hospital,Miami,FL,MIA,9.2,FLL,47.7,PBI,3.6
Urban Health Clinic,Washington,DC,DCA,32.5,IAD,4.1,BWI,20.4
Riverfront Medical Center,Chicago,IL,ORD,22.7,MDW,4.5,RFD,5.9
Northeast Medical Center,Washington,DC,DCA,11.1,IAD,2.9,BWI,15.4
Downtown Medical Center,San Francisco,CA,SFO,32.5,OAK,4.6,SJC,45.9
General Hospital,New York,NY,JFK,8.7,LGA,49.8,EWR,38.5
Northeast Medical Center,Washington,DC,DCA,31.1,IAD,44.2,BWI,38.9
City Medical Center,Phoenix,AZ,PHX,16.9,AZA,23.9,SDL,43.4
Harbor Hospital,Chicago,IL,ORD,38.0,MDW,35.6,RFD,10.2
Southern Health Clinic,New York,NY,JFK,29.3,LGA,13.4,EWR,30.9
City Medical Center,Los Angeles,CA,LAX,5.4,BUR,5.5,LGB,46.3
Regional Medical Center,Miami,FL,MIA,42.0,FLL,38.6,PBI,21.3
Coastal Health Center,Phoenix,AZ,PHX,20.8,AZA,9.1,SDL,17.0
Riverfront Medical Center,Miami,FL,MIA,25.2,FLL,11.1,PBI,15.7
Pine Valley Hospital,Phoenix,AZ,PHX,40.1,AZA,31.5,SDL,14.9
Lakeside Medical Center,San Francisco,CA,SFO,41.7,OAK,6.5,SJC,1.0
Pine Valley Hospital,New York,NY,JFK,5.2,LGA,14.8,EWR,19.1
West End Hospital,Los Angeles,CA,LAX,14.5,BUR,18.5,LGB,40.8
Urban Health Clinic,Washington,DC,DCA,12.8,IAD,35.2,BWI,5.6
Riverfront Medical Center,St. Louis,MO,STL,24.8,CPS,44.0,BLV,18.8
City Health Clinic,Los Angeles,CA,LAX,10.5,BUR,46.0,LGB,11.5
Southern Health Clinic,Atlanta,GA,ATL,15.0,PBI,2.2,BHM,25.8
Regional Medical Center,Seattle,WA,SEA,41.8,PAE,48.2,BFI,19.6
City Health Clinic,St. Louis,MO,STL,16.2,CPS,11.4,BLV,38.9
Main Street Medical Center,Atlanta,GA,ATL,20.9,PBI,24.4,BHM,43.2
Coastal Health Center,Seattle,WA,SEA,6.3,PAE,4.0,BFI,21.4
Main Street Medical Center,San Francisco,CA,SFO,0.6,OAK,36.6,SJC,43.3
Regional Medical Center,Miami,FL,MIA,42.5,FLL,34.5,PBI,45.9
Northeast Medical Center,Atlanta,GA,ATL,36.9,PBI,11.9,BHM,34.4
Harbor Hospital,New York,NY,JFK,48.0,LGA,16.8,EWR,20.8
Community Hospital,St. Louis,MO,STL,27.6,CPS,5.4,BLV,22.2
Harbor Hospital,San Francisco,CA,SFO,46.5,OAK,4.8,SJC,13.7
Community Hospital,New York,NY,JFK,34.6,LGA,37.2,EWR,0.6
Downtown Medical Center,New York,NY,JFK,26.7,LGA,35.9,EWR,42.3
City Health Clinic,New York,NY,JFK,49.1,LGA,34.5,EWR,46.6
Memorial Hospital,Phoenix,AZ,PHX,39.8,AZA,48.4,SDL,22.7
City Medical Center,Los Angeles,CA,LAX,42.5,BUR,33.4,LGB,31.6
General Hospital,Chicago,IL,ORD,40.5,MDW,41.8,RFD,0.7
Valley Health Center,Seattle,WA,SEA,42.1,PAE,15.0,BFI,32.9
Valley Health Center,Miami,FL,MIA,32.6,FLL,44.7,PBI,10.8
Regional Medical Center,Los Angeles,CA,LAX,32.0,BUR,49.0,LGB,38.3
Regional Medical Center,Washington,DC,DCA,33.2,IAD,28.2,BWI,4.9
Valley Health Center,Chicago,IL,ORD,13.9,MDW,3.1,RFD,15.1
Urban Health Clinic,St. Louis,MO,STL,32.8,CPS,43.6,BLV,28.6
