Flight Number,Airline,Origin Airport,Destination Airport,Scheduled Departure Time,Actual Departure Time,Scheduled Arrival Time,Actual Arrival Time,Date,Day of the Week,Distance (miles),Weather Conditions,Delay (minutes)
UN9442,United,SFO,FLL,2024-05-30 13:35,2024-05-30 15:21,2024-05-30 19:01,2024-05-30 19:48,2024-05-28,Tuesday,1820,Rain,106
DE234,Delta,BWI,DTW,2024-05-11 03:37,2024-05-11 04:14,2024-05-11 05:51,2024-05-11 06:40,2024-05-01,Wednesday,2306,Fog,37
SO4926,Southwest,FLL,MCO,2024-05-21 00:33,2024-05-21 01:07,2024-05-21 04:01,2024-05-21 04:42,2024-05-08,Wednesday,2060,Rain,34
UN9617,United,FLL,CLT,2024-05-19 16:43,2024-05-19 17:19,2024-05-19 21:12,2024-05-19 21:34,2024-05-04,Saturday,2373,Clear,36
AL262,Alaska,LAS,PHL,2024-05-03 01:15,2024-05-03 04:01,2024-05-03 03:09,2024-05-03 02:59,2024-05-11,Saturday,2339,Snow,166
UN7935,United,SFO,FLL,2024-05-25 16:21,2024-05-25 18:35,2024-05-25 21:10,2024-05-25 21:27,2024-05-10,Friday,2854,Clear,134
JE8842,JetBlue,SFO,IAH,2024-05-09 13:02,2024-05-09 13:39,2024-05-09 18:59,2024-05-09 19:37,2024-05-22,Wednesday,288,Fog,37
FR1135,Frontier,MIA,LAS,2024-05-06 16:23,2024-05-06 17:01,2024-05-06 19:24,2024-05-06 19:28,2024-05-23,Thursday,1579,Thunderstorm,38
JE4376,JetBlue,LAX,SEA,2024-05-12 02:14,2024-05-12 04:03,2024-05-12 07:53,2024-05-12 08:45,2024-05-12,Sunday,312,Fog,109
SP4468,Spirit,DFW,ATL,2024-05-23 14:39,2024-05-23 14:52,2024-05-23 19:50,2024-05-23 20:11,2024-05-22,Wednesday,836,Thunderstorm,13
SP5716,Spirit,MIA,DTW,2024-05-01 20:43,2024-05-01 23:08,2024-05-01 22:05,2024-05-01 21:54,2024-05-07,Tuesday,2443,Thunderstorm,145
UN6901,United,SEA,CLT,2024-05-26 13:30,2024-05-26 16:09,2024-05-26 18:28,2024-05-26 19:22,2024-05-01,Wednesday,1136,Clear,159
AM2906,American,SEA,BOS,2024-05-02 18:49,2024-05-02 20:24,2024-05-02 20:49,2024-05-02 21:29,2024-05-21,Tuesday,256,Thunderstorm,95
AM6373,American,MSP,ORD,2024-05-04 03:04,2024-05-04 04:33,2024-05-04 08:32,2024-05-04 08:33,2024-05-10,Friday,2136,Rain,89
DE4523,Delta,JFK,CLT,2024-05-16 14:10,2024-05-16 15:20,2024-05-16 19:32,2024-05-16 20:09,2024-05-01,Wednesday,2495,Rain,70
DE6405,Delta,LAX,CLT,2024-05-23 23:32,2024-05-24 00:10,2024-05-24 03:40,2024-05-24 03:42,2024-05-20,Monday,1645,Fog,38
SP5564,Spirit,FLL,PHX,2024-05-03 02:59,2024-05-03 04:39,2024-05-03 04:53,2024-05-03 05:47,2024-05-18,Saturday,2945,Rain,100
UN4158,United,SEA,FLL,2024-05-21 06:47,2024-05-21 09:09,2024-05-21 07:52,2024-05-21 08:51,2024-05-11,Saturday,2797,Rain,142
DE4384,Delta,PHX,MCO,2024-05-22 23:15,2024-05-23 01:13,2024-05-23 00:54,2024-05-23 01:42,2024-05-08,Wednesday,2351,Thunderstorm,118
JE4029,JetBlue,LAX,PHL,2024-05-16 00:23,2024-05-16 02:27,2024-05-16 04:42,2024-05-16 04:50,2024-05-07,Tuesday,811,Rain,124
UN5158,United,ATL,BOS,2024-05-12 02:16,2024-05-12 04:32,2024-05-12 04:25,2024-05-12 04:19,2024-05-25,Saturday,2561,Snow,136
AM1274,American,DFW,FLL,2024-05-12 18:47,2024-05-12 18:59,2024-05-12 23:42,2024-05-12 23:27,2024-05-04,Saturday,1366,Fog,12
AM9321,American,DEN,MCO,2024-05-16 15:10,2024-05-16 17:11,2024-05-16 19:20,2024-05-16 19:21,2024-05-29,Wednesday,2238,Thunderstorm,121
SP8813,Spirit,DEN,BWI,2024-05-18 04:23,2024-05-18 04:29,2024-05-18 09:23,2024-05-18 10:20,2024-05-15,Wednesday,476,Fog,6
AM1879,American,BOS,MIA,2024-05-25 19:30,2024-05-25 20:16,2024-05-25 21:04,2024-05-25 20:55,2024-05-16,Thursday,1624,Snow,46
UN7404,United,SEA,FLL,2024-05-08 18:27,2024-05-08 18:41,2024-05-08 22:03,2024-05-08 22:29,2024-05-20,Monday,2927,Fog,14
DE4249,Delta,BWI,MIA,2024-05-04 20:56,2024-05-04 21:13,2024-05-04 22:26,2024-05-04 22:36,2024-05-03,Friday,503,Thunderstorm,17
JE1775,JetBlue,IAH,PHX,2024-05-03 10:15,2024-05-03 11:35,2024-05-03 14:10,2024-05-03 14:54,2024-05-10,Friday,1571,Thunderstorm,80
AM9102,American,DTW,ATL,2024-05-17 04:00,2024-05-17 04:17,2024-05-17 05:42,2024-05-17 06:26,2024-05-12,Sunday,1384,Fog,17
SP5867,Spirit,PHX,JFK,2024-05-09 14:58,2024-05-09 17:11,2024-05-09 18:44,2024-05-09 18:33,2024-05-26,Sunday,2866,Rain,133
AL8672,Alaska,DFW,MSP,2024-05-15 22:06,2024-05-15 22:45,2024-05-16 01:18,2024-05-16 01:31,2024-05-24,Friday,797,Fog,39
JE3027,JetBlue,PHL,JFK,2024-05-15 22:09,2024-05-16 00:27,2024-05-15 23:18,2024-05-16 00:16,2024-05-28,Tuesday,585,Snow,138
UN7868,United,LAS,MCO,2024-05-03 20:17,2024-05-03 22:52,2024-05-03 23:10,2024-05-03 23:59,2024-05-02,Thursday,1356,Clear,155
UN324,United,LAX,SFO,2024-05-29 22:31,2024-05-30 01:16,2024-05-30 02:49,2024-05-30 02:48,2024-05-28,Tuesday,2300,Snow,165
SP3746,Spirit,PHX,LAS,2024-05-01 17:29,2024-05-01 18:45,2024-05-01 22:34,2024-05-01 23:32,2024-05-26,Sunday,2499,Rain,76
AL3857,Alaska,DTW,LAX,2024-05-18 06:12,2024-05-18 09:04,2024-05-18 11:13,2024-05-18 11:49,2024-05-08,Wednesday,348,Rain,172
AL6872,Alaska,BOS,MSP,2024-05-24 16:13,2024-05-24 18:23,2024-05-24 21:22,2024-05-24 21:46,2024-05-22,Wednesday,1195,Snow,130
JE2345,JetBlue,LAS,MSP,2024-05-11 10:29,2024-05-11 12:28,2024-05-11 13:04,2024-05-11 13:09,2024-05-11,Saturday,372,Rain,119
DE3054,Delta,MIA,IAH,2024-05-12 07:22,2024-05-12 08:37,2024-05-12 10:33,2024-05-12 11:33,2024-05-07,Tuesday,273,Thunderstorm,75
AM9577,American,PHX,SEA,2024-05-25 03:08,2024-05-25 04:04,2024-05-25 07:40,2024-05-25 08:14,2024-05-25,Saturday,2112,Clear,56
FR4597,Frontier,CLT,ORD,2024-05-15 20:28,2024-05-15 22:33,2024-05-16 01:50,2024-05-16 02:35,2024-05-04,Saturday,1095,Rain,125
FR6078,Frontier,IAH,MCO,2024-05-03 02:34,2024-05-03 03:37,2024-05-03 07:02,2024-05-03 07:28,2024-05-20,Monday,803,Snow,63
AM4205,American,CLT,IAH,2024-05-16 06:10,2024-05-16 06:13,2024-05-16 12:06,2024-05-16 12:26,2024-05-30,Thursday,1825,Fog,3
SP5512,Spirit,DTW,LAS,2024-05-05 12:33,2024-05-05 15:19,2024-05-05 17:27,2024-05-05 17:55,2024-05-07,Tuesday,1200,Snow,166
DE6588,Delta,PHL,LAS,2024-05-22 23:09,2024-05-23 00:03,2024-05-23 04:12,2024-05-23 05:05,2024-05-04,Saturday,548,Clear,54
SP6333,Spirit,PHL,SEA,2024-05-01 06:36,2024-05-01 08:40,2024-05-01 12:04,2024-05-01 12:41,2024-05-20,Monday,1698,Snow,124
DE1208,Delta,PHX,DEN,2024-05-30 21:20,2024-05-30 22:09,2024-05-31 02:10,2024-05-31 02:58,2024-05-28,Tuesday,1111,Rain,49
AM221,American,BOS,LAX,2024-05-10 10:06,2024-05-10 10:56,2024-05-10 14:37,2024-05-10 14:45,2024-05-20,Monday,643,Snow,50
AM4862,American,LAS,DFW,2024-05-02 08:25,2024-05-02 09:54,2024-05-02 10:16,2024-05-02 10:26,2024-05-09,Thursday,673,Clear,89
FR1255,Frontier,PHL,DEN,2024-05-24 13:26,2024-05-24 13:35,2024-05-24 16:36,2024-05-24 17:02,2024-05-29,Wednesday,1518,Thunderstorm,9
SP3059,Spirit,BOS,SFO,2024-05-20 08:05,2024-05-20 10:01,2024-05-20 13:12,2024-05-20 14:04,2024-05-22,Wednesday,1494,Thunderstorm,116
JE7151,JetBlue,MIA,SEA,2024-05-23 00:07,2024-05-23 02:51,2024-05-23 02:46,2024-05-23 03:25,2024-05-12,Sunday,1190,Thunderstorm,164
AM6931,American,MIA,MSP,2024-05-22 13:52,2024-05-22 13:52,2024-05-22 15:40,2024-05-22 16:37,2024-05-03,Friday,2708,Clear,0
FR8375,Frontier,PHL,MSP,2024-05-18 09:02,2024-05-18 09:06,2024-05-18 13:50,2024-05-18 14:49,2024-05-25,Saturday,2461,Snow,4
SO4954,Southwest,MSP,ORD,2024-05-26 05:15,2024-05-26 06:23,2024-05-26 09:12,2024-05-26 09:47,2024-05-10,Friday,1902,Fog,68
AM763,American,LAS,IAH,2024-05-02 06:08,2024-05-02 07:28,2024-05-02 09:00,2024-05-02 08:53,2024-05-07,Tuesday,1695,Thunderstorm,80
JE2910,JetBlue,MIA,CLT,2024-05-08 19:42,2024-05-08 21:35,2024-05-08 23:24,2024-05-08 23:22,2024-05-20,Monday,926,Rain,113
JE3413,JetBlue,LAS,SEA,2024-05-16 20:21,2024-05-16 23:17,2024-05-16 21:22,2024-05-16 21:10,2024-05-28,Tuesday,2396,Thunderstorm,176
JE2265,JetBlue,CLT,ORD,2024-05-20 09:27,2024-05-20 10:01,2024-05-20 12:00,2024-05-20 12:21,2024-05-12,Sunday,2413,Snow,34
FR8975,Frontier,IAH,BWI,2024-05-16 17:48,2024-05-16 19:39,2024-05-16 20:44,2024-05-16 21:07,2024-05-27,Monday,1069,Thunderstorm,111
AL7480,Alaska,BOS,SEA,2024-05-16 03:42,2024-05-16 03:55,2024-05-16 08:10,2024-05-16 08:07,2024-05-09,Thursday,2210,Clear,13
FR4364,Frontier,BOS,CLT,2024-05-11 21:51,2024-05-11 23:25,2024-05-12 01:55,2024-05-12 02:52,2024-05-13,Monday,717,Thunderstorm,94
AL5666,Alaska,ORD,DTW,2024-05-09 21:42,2024-05-10 00:24,2024-05-10 03:07,2024-05-10 04:03,2024-05-07,Tuesday,1761,Snow,162
FR8152,Frontier,SEA,MSP,2024-05-15 01:30,2024-05-15 04:02,2024-05-15 04:11,2024-05-15 05:02,2024-05-13,Monday,2693,Rain,152
FR4583,Frontier,LAS,MSP,2024-05-03 15:09,2024-05-03 18:03,2024-05-03 19:15,2024-05-03 20:00,2024-05-20,Monday,2031,Snow,174
DE7869,Delta,DFW,PHL,2024-05-05 18:19,2024-05-05 20:08,2024-05-05 23:09,2024-05-05 23:28,2024-05-05,Sunday,1268,Rain,109
SP1544,Spirit,JFK,BWI,2024-05-18 23:11,2024-05-19 01:03,2024-05-19 01:35,2024-05-19 02:03,2024-05-30,Thursday,816,Rain,112
DE4330,Delta,CLT,PHL,2024-05-10 11:08,2024-05-10 13:05,2024-05-10 15:34,2024-05-10 15:44,2024-05-30,Thursday,2549,Snow,117
JE1480,JetBlue,SEA,MSP,2024-05-09 22:02,2024-05-09 23:11,2024-05-10 01:20,2024-05-10 01:43,2024-05-03,Friday,2588,Clear,69
AM6235,American,PHX,CLT,2024-05-05 10:01,2024-05-05 11:43,2024-05-05 15:40,2024-05-05 15:26,2024-05-20,Monday,1517,Fog,102
JE3569,JetBlue,BOS,PHX,2024-05-13 08:36,2024-05-13 11:04,2024-05-13 12:27,2024-05-13 13:02,2024-05-04,Saturday,370,Rain,148
SP6382,Spirit,FLL,JFK,2024-05-29 06:58,2024-05-29 08:28,2024-05-29 10:51,2024-05-29 11:31,2024-05-27,Monday,1190,Clear,90
SO2564,Southwest,SEA,CLT,2024-05-25 08:52,2024-05-25 10:51,2024-05-25 11:22,2024-05-25 11:07,2024-05-19,Sunday,1586,Fog,119
UN7916,United,DTW,ATL,2024-05-24 10:43,2024-05-24 12:43,2024-05-24 13:17,2024-05-24 13:16,2024-05-25,Saturday,2721,Clear,120
FR4441,Frontier,CLT,MSP,2024-05-01 09:56,2024-05-01 11:23,2024-05-01 13:05,2024-05-01 13:36,2024-05-11,Saturday,2187,Thunderstorm,87
AL2490,Alaska,BWI,SFO,2024-05-21 20:09,2024-05-21 22:53,2024-05-22 00:44,2024-05-22 00:29,2024-05-30,Thursday,2434,Thunderstorm,164
FR5491,Frontier,PHL,LAS,2024-05-24 13:06,2024-05-24 13:17,2024-05-24 18:02,2024-05-24 18:51,2024-05-07,Tuesday,2805,Snow,11
DE1507,Delta,SFO,FLL,2024-05-30 04:48,2024-05-30 07:12,2024-05-30 08:15,2024-05-30 09:08,2024-05-25,Saturday,2184,Rain,144
FR6287,Frontier,DEN,LAX,2024-05-26 05:39,2024-05-26 06:51,2024-05-26 11:00,2024-05-26 11:47,2024-05-13,Monday,2584,Snow,72
AM5585,American,PHL,DTW,2024-05-04 03:31,2024-05-04 03:42,2024-05-04 04:52,2024-05-04 05:13,2024-05-26,Sunday,2919,Snow,11
SP765,Spirit,MIA,DEN,2024-05-12 22:39,2024-05-12 23:31,2024-05-13 03:19,2024-05-13 03:06,2024-05-22,Wednesday,1685,Rain,52
AL4350,Alaska,SFO,JFK,2024-05-15 09:30,2024-05-15 09:56,2024-05-15 14:39,2024-05-15 14:24,2024-05-03,Friday,2622,Fog,26
SO7822,Southwest,ATL,MCO,2024-05-16 18:30,2024-05-16 19:08,2024-05-16 23:59,2024-05-17 00:32,2024-05-21,Tuesday,1133,Clear,38
UN6120,United,PHX,BOS,2024-05-28 23:20,2024-05-29 01:32,2024-05-29 04:30,2024-05-29 05:19,2024-05-03,Friday,2404,Snow,132
SO9272,Southwest,LAX,DEN,2024-05-13 11:29,2024-05-13 11:44,2024-05-13 12:51,2024-05-13 13:30,2024-05-08,Wednesday,2855,Thunderstorm,15
AM8096,American,LAX,DFW,2024-05-16 01:56,2024-05-16 03:38,2024-05-16 07:04,2024-05-16 06:49,2024-05-24,Friday,2062,Thunderstorm,102
AL6221,Alaska,PHX,DEN,2024-05-18 04:35,2024-05-18 07:19,2024-05-18 07:25,2024-05-18 07:34,2024-05-04,Saturday,1532,Thunderstorm,164
SO6486,Southwest,PHL,DEN,2024-05-26 14:54,2024-05-26 17:46,2024-05-26 19:16,2024-05-26 19:33,2024-05-15,Wednesday,2409,Snow,172
AL3780,Alaska,IAH,MSP,2024-05-27 00:26,2024-05-27 03:11,2024-05-27 03:47,2024-05-27 04:04,2024-05-01,Wednesday,2149,Fog,165
UN1667,United,BOS,DTW,2024-05-12 20:10,2024-05-12 22:47,2024-05-12 22:39,2024-05-12 22:37,2024-05-15,Wednesday,497,Rain,157
AM3175,American,ATL,PHX,2024-05-20 07:18,2024-05-20 07:54,2024-05-20 10:42,2024-05-20 10:28,2024-05-15,Wednesday,2307,Rain,36
JE5791,JetBlue,CLT,MSP,2024-05-29 00:58,2024-05-29 01:08,2024-05-29 01:59,2024-05-29 02:03,2024-05-06,Monday,2164,Clear,10
JE6114,JetBlue,MIA,CLT,2024-05-25 15:25,2024-05-25 17:17,2024-05-25 16:55,2024-05-25 17:11,2024-05-30,Thursday,2466,Thunderstorm,112
AL2963,Alaska,LAS,BWI,2024-05-10 20:42,2024-05-10 20:56,2024-05-10 22:06,2024-05-10 22:49,2024-05-26,Sunday,1624,Rain,14
SO3589,Southwest,ATL,MSP,2024-05-16 21:19,2024-05-17 00:09,2024-05-17 02:06,2024-05-17 01:59,2024-05-23,Thursday,662,Snow,170
